"","employees","salaries.2014","salaries.2015","raise","got.raise"
"1","Employee 1",42816.6354005225,42919.3416154012,102.706214878708,TRUE
"2","Employee 2",48033.0402869731,51818.5945339501,3785.55424697697,TRUE
"3","Employee 3",45838.1496602669,46093.9338924363,255.78423216939,TRUE
"4","Employee 4",43852.7130312286,45815.8652307466,1963.15219951794,TRUE
"5","Employee 5",48329.0680032223,50912.8905688412,2583.8225656189,TRUE
"6","Employee 6",45318.5953968205,48096.3437976316,2777.74840081111,TRUE
"7","Employee 7",45432.9893155955,50322.8650903329,4889.87577473745,TRUE
"8","Employee 8",49250.8120718412,48593.9869508147,-656.825121026486,FALSE
"9","Employee 9",40123.4238338657,40666.7763027363,543.35246887058,TRUE
"10","Employee 10",48329.9335255288,52774.7654849663,4444.83195943758,TRUE
"11","Employee 11",44902.4871946312,46676.9001814537,1774.41298682243,TRUE
"12","Employee 12",45456.6542967223,47714.4864369184,2257.83214019611,TRUE
"13","Employee 13",47962.5571193174,51436.8896922097,3474.33257289231,TRUE
"14","Employee 14",40507.0620053448,42290.5320925638,1783.47008721903,TRUE
"15","Employee 15",48429.9329319037,47754.3087597005,-675.624172203243,FALSE
"16","Employee 16",42444.4384220988,46500.4145116545,4055.97608955577,TRUE
"17","Employee 17",44593.1182755157,48635.9371365979,4042.8188610822,TRUE
"18","Employee 18",48627.54937727,50567.4612750299,1939.91189775988,TRUE
"19","Employee 19",45510.5154798366,48486.8890815414,2976.37360170484,TRUE
"20","Employee 20",46573.9759150892,51045.4309768975,4471.45506180823,TRUE
"21","Employee 21",41634.2461761087,43147.2941078246,1513.04793171585,TRUE
"22","Employee 22",41424.7461478226,41922.8473030962,498.101155273616,TRUE
"23","Employee 23",49157.7929072082,49278.3861146308,120.593207422644,TRUE
"24","Employee 24",46594.1653843038,49933.4922269918,3339.32684268802,TRUE
"25","Employee 25",46655.6519432925,45763.1318373606,-892.520105931908,FALSE
"26","Employee 26",41049.8557542451,44781.2268366106,3731.37108236551,TRUE
"27","Employee 27",43136.5186395124,44412.5752495602,1276.05661004782,TRUE
"28","Employee 28",43518.2242793962,45648.8945386373,2130.67025924101,TRUE
"29","Employee 29",43714.6031158045,46156.3675114885,2441.764395684,TRUE
"30","Employee 30",49143.5435879976,48343.308691401,-800.234896596521,FALSE
"31","Employee 31",40653.2828439958,41723.852026742,1070.56918274611,TRUE
"32","Employee 32",41148.1890035793,42620.4077266157,1472.21872303635,TRUE
"33","Employee 33",45311.1327858642,49852.0357906818,4540.90300481766,TRUE
"34","Employee 34",40905.295968987,43277.8562875465,2372.56031855941,TRUE
"35","Employee 35",41011.018960271,43924.5203351602,2913.50137488917,TRUE
"36","Employee 36",40800.0777801499,40642.9284592159,-157.149320933968,FALSE
"37","Employee 37",47740.1857334189,50396.8016272411,2656.61589382216,TRUE
"38","Employee 38",48683.7282194756,52557.9620087519,3874.23378927633,TRUE
"39","Employee 39",41231.5034074709,45919.4591920823,4687.9557846114,TRUE
"40","Employee 40",49077.411768958,52785.5062126182,3708.09444366023,TRUE
"41","Employee 41",46142.1078117564,47810.237724334,1668.12991257757,TRUE
"42","Employee 42",46970.7954348996,51159.9736660719,4189.17823117226,TRUE
"43","Employee 43",45331.8864014,48073.9490813576,2742.0626799576,TRUE
"44","Employee 44",47897.945002187,49810.6500036083,1912.70500142127,TRUE
"45","Employee 45",41253.17965867,43236.1869718879,1983.00731321797,TRUE
"46","Employee 46",46120.6270637922,47925.2293664031,1804.60230261087,TRUE
"47","Employee 47",46532.0096421055,50847.1932890825,4315.18364697695,TRUE
"48","Employee 48",46676.4066624455,46468.4955943376,-207.911068107933,FALSE
